Symptom,Variation,Patient Description
anxiety and nervousness,1,"“It’s just… lately, I’ve been feeling really on edge. Like I’m constantly waiting for something bad to happen. Little things don’t bother me as much as they used to, but I find myself getting incredibly anxious and nervous, especially when I’m around people or in unfamiliar situations. It’s hard to explain, but I just feel this overwhelming sense of worry.”"
anxiety and nervousness,2,"“It’s just… lately, everything feels so overwhelming. I’m constantly on edge, jumping at shadows. I get this intense anxiety and nervousness, especially in crowds or when I have to speak up. It’s like my heart is racing all the time, and I just can’t seem to shake it off.”"
anxiety and nervousness,3,"“It’s just… a constant feeling, you know? Like I’m on edge. Everything feels urgent, and I just can’t seem to switch off. I get this tightness in my chest, and my hands shake sometimes, especially when I’m around people. It’s really difficult to concentrate, and I’m just generally worried about everything.”"
anxiety and nervousness,4,"“Honestly, it’s just… a constant feeling of being on edge. Like something bad is about to happen, even when there’s nothing obviously wrong. It’s really hard to shake, and it’s making it difficult to concentrate at work.”"
depression,1,"“It’s just… everything feels so heavy lately. Like I’m wading through mud, you know? I used to enjoy my hobbies, reading, going for walks, but now I just don’t have the energy or the motivation. It’s like a constant grayness, and I just don’t see the point of anything.”"
depression,2,"“It’s just… everything feels so heavy lately. Like I’m wading through mud, you know? I don’t enjoy things I used to, and I just feel this persistent sadness, even when good things are happening. It’s not dramatic, not like a panic attack, but it’s always there, kind of like a dull ache.”"
depression,3,"“It’s like… everything feels so gray lately. I just don’t have the energy to do anything I used to enjoy, and I’m finding it really hard to get excited about anything at all. I just want to sleep most of the time, and I’ve lost interest in my friends and my hobbies. It’s a heavy feeling, a constant weight on my chest.”"
depression,4,"“It’s just… everything feels so heavy lately. Like wading through mud, you know? I can’t seem to find any joy in things I used to really enjoy, and I’m just constantly tired, even when I’m sleeping. It’s like a grey film has settled over my whole life, and I just don’t see the point of anything.”"
shortness of breath,1,"“It’s getting worse, honestly. I just can’t seem to catch my breath when I walk up the stairs anymore. It’s like there’s this tightness in my chest and I’m gasping for air, even when I’m not really exerting myself.”"
shortness of breath,2,"“It’s just… getting harder to breathe sometimes. Like, I’ll be walking around the block and I’ll just get this tightness in my chest, and I have to slow down, you know? It’s not a constant thing, but it comes on unexpectedly.”"
shortness of breath,3,"“It’s just… getting harder to catch my breath, you know? Like, I’ll be walking around the block and I just get this tightness in my chest and I have to slow down, or sometimes I’ll just feel like I can’t get enough air.”"
shortness of breath,4,"“It’s just… getting harder to catch my breath, you know? Like, I’ll be walking across the room and I just get this tightness in my chest and I have to stop and take a breather. It’s not constant, but it’s happening more and more lately, especially when I’m a little warm.”"
depressive or psychotic symptoms,1,"“It’s just… everything feels so heavy lately. Like I’m wading through mud, you know? I don’t enjoy anything anymore, and sometimes I’m hearing things – not voices, exactly, but like… thoughts that aren’t my own, pushing me around. It’s really frightening, and I just feel completely numb most of the time.”"
depressive or psychotic symptoms,2,"“It’s just… everything feels so heavy, you know? Like there’s this grey film over everything. And sometimes, I’m seeing things that aren't there, hearing voices that aren’t real. It’s not constant, but when it hits, it’s terrifying. It’s like my own mind is against me.”"
depressive or psychotic symptoms,3,"“It’s just… everything feels so heavy, you know? Like I’m wading through mud, and I can’t seem to pull myself out. Lately, I’ve been hearing things, little voices, and it’s not always clear what they’re saying, but they’re just… unsettling. They make me feel incredibly anxious and isolated.”"
depressive or psychotic symptoms,4,"“It’s just… everything feels so distant, you know? Like I’m watching my life happen to someone else. And lately, there are these voices, just… whispering things. Not always clear, but just… present. It’s making it really hard to focus on anything, or even just feel like I’m *me* anymore.”"
sharp chest pain,1,"“It just…it comes on really suddenly. Like a knife twisting in my chest. It’s not a dull ache, it’s…it’s sharp. Really sharp. And it seems to move around a bit.”"
sharp chest pain,2,"It just… it came on so suddenly. Like a knife twisting around, right in the center of my chest. It’s hard to describe, but it’s a really intense, sharp pain."
sharp chest pain,3,"“It’s like a knife, you know? Like someone’s just… stabbing into my chest. It comes and goes, but when it’s really bad, it’s completely unbearable.”"
sharp chest pain,4,"“It just…comes on suddenly, you know? Like a knife twisting around, right in the middle of my chest. It’s really intense, and it doesn’t feel like anything I’ve felt before.”"
dizziness,1,"“It’s just… weird. Like the room is tilting, even when I’m sitting still. Sometimes it comes on suddenly, other times it’s a slow sort of swaying feeling. It’s really unsettling, and I’m afraid to move around too much.”"
dizziness,2,"“It’s just…weird. Like the room’s spinning sometimes, but not constantly. It comes and goes, and I feel really unsteady, especially when I stand up quickly.”"
dizziness,3,"“It’s like… the room just spins sometimes. Especially when I stand up quickly, or when I’m in a crowded place. It’s really disorienting, and I feel like I might actually fall over.”"
dizziness,4,"“It’s just…like the room is tilting, you know? Sometimes when I stand up too quickly, or even just when I’m sitting down, it feels like the whole world’s spinning around me for a second. It’s really unsettling.”"
insomnia,1,"“It’s just… getting to sleep is a real struggle. I’ve been lying there for hours, staring at the ceiling, my mind just racing. I’ll finally doze off, maybe for an hour, and then I’m wide awake again. It’s been going on for weeks now, and it’s really starting to wear me down.”"
insomnia,2,"“It’s just… it’s getting really bad. I used to fall asleep so easily, but now I’m tossing and turning for hours. I’m exhausted during the day, and I don’t even know why. It’s like my brain just won’t shut off.”"
insomnia,3,"“It’s just… getting to sleep is a real battle every night. I’ll be lying there, staring at the ceiling, and my mind just won’t shut off. I toss and turn, and I’m usually exhausted by the time I finally do drift off, but I never feel rested.”"
insomnia,4,"“It’s just… it’s getting really hard to switch off at night. I’m lying there, staring at the ceiling, and my mind just races. I’ll get to maybe four or five in the morning before I finally drift off, and even then, it’s a fitful sleep. It’s completely draining me during the day.”"
abnormal involuntary movements,1,"“It’s…it’s like my hands just sort of jerk without me telling them to. Sometimes it’s just my fingers, other times my whole arm moves, like I’m trying to swat at something that isn’t there. It’s really unsettling.”"
abnormal involuntary movements,2,"“It’s… it’s like my hands just sort of jerk without me telling them to. Sometimes they’re little tremors, but other times they’re like, really sudden, jerky movements, almost like I’m fighting an urge to move.”"
abnormal involuntary movements,3,"“It’s like… my hands just keep jerking, you know? Without me telling them to. Sometimes it’s just my fingers, other times my whole arm. It’s really unsettling, and it’s happening more and more lately.”"
abnormal involuntary movements,4,"“It’s…it’s like my hands just keep jerking. Randomly. I can be sitting still, reading, and suddenly they’re flapping or twitching. It’s really unsettling.”"
chest tightness,1,"“It’s kind of hard to explain, but when I really exert myself, like going up the stairs, I get this…pressure in my chest. It feels like something’s squeezing me, you know? Not a sharp pain, more like a heavy feeling.”"
chest tightness,2,"“It’s just…like a heavy pressure. Like someone’s sitting on my chest. It comes and goes, usually when I’m stressed, but sometimes it happens when I’m just resting.”"
chest tightness,3,"“It’s…it’s like a pressure, you know? Like someone’s sitting on my chest. It comes and goes, mostly when I’m stressed, but sometimes just…randomly. It’s hard to explain, but it makes it really difficult to breathe deeply.”"
chest tightness,4,"“It’s like… a pressure. Right here, in my chest. It comes and goes, usually when I’m stressed, but sometimes it just… appears out of nowhere. It feels like something’s sitting on my ribs, really heavy.”"
palpitations,1,"“It’s… it’s like my heart skips a beat sometimes. Like a flutter, you know? It happens when I’m stressed, mostly, or when I’m just walking uphill, but it can be random too. It’s really unsettling.”"
palpitations,2,"“It’s… it’s like my heart just skips a beat sometimes. Not all the time, but when I’m really stressed or when I’m just walking up stairs, it feels like it’s fluttering around in my chest.”"
palpitations,3,"“It’s just… my heart. Sometimes, especially when I’m really stressed or after I’ve been sitting still for a while, it feels like it’s skipping beats, or like it’s pounding really hard. It’s really unsettling.”"
palpitations,4,"“It’s just… my heart feels really weird sometimes. Like it’s skipping a beat or pounding really hard, especially when I’m stressed or after I’ve been sitting still for a while. It’s unsettling, honestly.”"
irregular heartbeat,1,"“It’s just… my heart feels really weird sometimes. Like it’s skipping beats or going too fast, and then suddenly slowing down. It happens mostly when I’m stressed, but it’s been happening even when I’m just relaxing.”"
irregular heartbeat,2,"“It’s just… my heart feels really wonky sometimes. Like it’s skipping beats or going too fast, and then suddenly slowing down. It’s hard to describe, but it’s not a regular thump-thump, you know?”"
irregular heartbeat,3,"“It’s just… my heart. It feels like it’s skipping beats sometimes, like a record that’s skipping. And it happens when I’m really stressed, but also when I’m just sitting quietly. It’s unsettling, really.”"
irregular heartbeat,4,"“It’s just… my heart feels like it’s skipping beats sometimes. Like a flutter, you know? It happens mostly when I’m stressed, or after I’ve been sitting still for a while, but it’s gotten more frequent lately, and it’s a little unsettling.”"
breathing fast,1,"“It’s just… hard to catch my breath sometimes. Like, when I walk up the stairs, I have to really slow down, and I’m breathing fast, really fast, and it feels like I can’t get enough air.”"
breathing fast,2,"“It’s just… my chest feels really tight, and I’m breathing fast. Like I can’t quite get enough air, you know? It comes and goes, but when it’s bad, it’s really hard to think straight.”"
breathing fast,3,"“It’s just… hard to catch my breath sometimes. Like, when I walk even a little bit, I just feel like I’m breathing fast, really quickly, and it’s exhausting.”"
breathing fast,4,"“It’s just… really hard to catch my breath, you know? Like, I’m breathing fast, and it feels like I can’t get enough air, even when I’m just sitting still.”"
hoarse voice,1,"“It’s just… my voice feels weird. Like it’s not coming out right. It’s particularly bad in the mornings, and I’ve been trying to talk less, but it’s still a little strained. It’s not painful, just… off.”"
hoarse voice,2,"“It’s just… my voice feels really strange. Like it’s gone all scratchy and weak. I can barely get a clear sound out of my throat, especially after I’ve been talking for a little while. It’s not painful, exactly, but it’s just… off.”"
hoarse voice,3,"“It’s just… my voice feels so strange. Like it’s not really *mine*. When I talk, it sounds… strained, you know? Almost like I’ve been shouting, even when I’m just whispering. It’s gotten worse over the last few days, and it’s really bothering me.”"
hoarse voice,4,"“It’s just…it’s hard to get any real sound out of my throat. Like, I try to talk and it just comes out…muffled and raspy. It’s gotten worse over the last few days, really.”"
sore throat,1,"“It’s just…this awful scratchiness in my throat. It started yesterday, and it’s gotten worse. Like nothing I can swallow feels right, and it’s really painful to talk.”"
sore throat,2,"“It’s just… really scratchy. Like something’s constantly irritating the back of my throat. It’s worse when I swallow, and it feels like I’ve got this persistent dryness.”"
sore throat,3,"“It’s just…really scratchy. Like something’s constantly trying to get past my throat. It’s worse when I talk, and even just swallowing feels a bit painful.”"
sore throat,4,"“It’s just… this awful scratchiness in my throat. Like someone’s constantly running sandpaper over it. It’s really persistent, even when I’m trying to swallow, and it feels like it’s starting to spread.”"
difficulty speaking,1,"“It’s just… getting harder to find the words sometimes. Like, I’ll be in the middle of a conversation and I just freeze up. It’s really frustrating, and it feels like my brain just isn’t connecting to my mouth.”"
difficulty speaking,2,"“It’s just… getting harder to find the words, you know? Like, I’ll be in the middle of a sentence and I just… freeze. It’s like there’s a block somewhere, and then I have to really, really try to get it out. Sometimes I repeat myself, and other times I just feel completely lost for what to say.”"
difficulty speaking,3,"“It’s just… getting harder to get the words out sometimes. Like, I’ll start to speak and they just kind of get tangled up in my head, and I have to really concentrate to finish a sentence. It’s frustrating, and it’s happening more frequently lately.”"
difficulty speaking,4,"“It’s just… getting harder to find the words, you know? Like, I’ll be in the middle of a sentence and I’ll completely freeze up. It’s not like a total block, but my thoughts get tangled and I can’t seem to get them out properly. It’s really frustrating.”"
cough,1,"“It’s just… this persistent tickle in my throat, you know? And then when I cough, it feels like something’s trying to come up, but it just won’t quite go away. It’s mostly dry, just a sort of raspiness.”"
cough,2,"“It’s just… this persistent tickle in my throat, you know? It’s not a really bad cough, but I’ve been coughing up a little bit of phlegm, mostly in the mornings. It’s getting a bit irritating, to be honest.”"
cough,3,"“It’s just… this persistent tickle in my throat. It’s mostly at night, when I lie down, and I just keep bringing something up. It’s not a terrible amount, but it’s really irritating and I can’t seem to shake it.”"
cough,4,"“It’s just… this persistent tickle in my throat, you know? It’s not really a pain, but I’ve been bringing up a little bit of phlegm when I cough, especially in the mornings. It’s getting a bit annoying, honestly.”"
nasal congestion,1,"“It’s just… my nose is constantly stuffed up. Like, all the time. It’s driving me crazy, especially at night. I can barely breathe through it.”"
nasal congestion,2,"“It’s just… my nose feels completely stuffed up. Like, constantly. I can barely breathe through it, and it’s driving me crazy.”"
nasal congestion,3,"“It’s just… everything feels so blocked up in my nose. Like, constantly. Even when I blow my nose, it’s still there. It’s really making it hard to breathe properly, especially first thing in the morning.”"
nasal congestion,4,"“It’s just… everything feels so blocked up in my nose. Like, constantly. It’s not a sharp pain, more like a pressure, and it’s making it really hard to breathe properly, especially when I lie down.”"
throat swelling,1,"“It’s just… really uncomfortable. My throat feels like it’s swelling up, like there’s this pressure and it’s hard to swallow. It started yesterday, and it’s getting worse.”"
throat swelling,2,"It’s just… it feels like something’s building up in my throat. Like it’s getting bigger, and it’s really hard to swallow sometimes."
throat swelling,3,"“It’s just… this lump in my throat. It feels like it’s getting bigger, and when I swallow, it’s really difficult. Like something’s blocking the way.”"
throat swelling,4,"“It’s just… it feels like something’s pressing on the back of my throat. Like, a constant fullness, and it’s hard to swallow sometimes, and my throat feels really puffy.”"
diminished hearing,1,"“It’s just… lately, I’ve been having a really hard time hearing people, especially in crowded rooms. Like, I have to ask them to repeat themselves constantly, and I feel like I’m missing out on conversations.”"
diminished hearing,2,"“It’s just… lately, I’ve been having a really hard time hearing people, especially in louder rooms. Like, conversations just seem to fade, and I have to ask people to repeat themselves constantly. It’s getting frustrating, and I worry it’s getting worse.”"
